question_urdu,question_english,answer,options_if_mcq,fun_fact,difficulty,category
پاکستان کی پہلی آئی ٹی کمپنی کون سی تھی؟,What was Pakistan's first IT company?,Systems Limited (1977),"Systems Limited,PTCL,Netsol,PakNet",Systems Limited was founded in 1977 and is still one of Pakistan's largest IT companies today,Medium,Pakistan Tech History
گوگل کا پہلا نام کیا تھا؟,What was Google's original name?,BackRub,"BackRub,SearchIt,WebCrawl,PageRank",Larry Page and Sergey Brin called it BackRub because it analyzed backlinks,Easy,Tech History
پہلا ایس ایم ایس کب اور کیا بھیجا گیا؟,When was the first SMS sent and what did it say?,December 3 1992 - 'Merry Christmas',N/A,Neil Papworth sent 'Merry Christmas' to Richard Jarvis at Vodafone,Medium,Tech History
پاکستان میں انٹرنیٹ کب آیا؟,When did internet arrive in Pakistan?,1995,N/A,PTCL launched internet service in 1995 - initially very expensive and slow,Medium,Pakistan Tech History
ایپل کا پہلا پروڈکٹ کیا تھا؟,What was Apple's first product?,Apple I computer (1976),N/A,Steve Wozniak built it and Steve Jobs sold it for $666.66,Medium,Tech History
فری لانسنگ میں پاکستان کا عالمی درجہ کیا ہے؟,What is Pakistan's global freelancing rank?,4th largest freelancer population,N/A,Pakistan has over 2 million freelancers contributing billions to the economy,Easy,Pakistan Tech
پہلی ویب سائٹ کب بنی؟,When was the first website created?,August 6 1991,N/A,Tim Berners-Lee created it at CERN - it explained what the World Wide Web was,Medium,Tech History
جاوا سکرپٹ کتنے دنوں میں بنی؟,How many days did it take to create JavaScript?,10 days,N/A,Brendan Eich created JavaScript in just 10 days in May 1995,Hard,Programming
یوٹیوب کی پہلی ویڈیو کا نام کیا تھا؟,What was the first YouTube video called?,Me at the zoo,"Me at the zoo,First Video,Hello World,Test Video",Uploaded by co-founder Jawed Karim on April 23 2005 - only 18 seconds long,Easy,Tech History
فیس بک شروع میں کس کے لیے تھا؟,Who was Facebook originally for?,Harvard students only,N/A,Mark Zuckerberg launched it as TheFacebook.com for Harvard students in 2004,Easy,Tech History
پہلا کمپیوٹر وائرس کا نام کیا تھا؟,What was the first computer virus called?,Creeper (1971),"Creeper,Worm,Trojan,Brain",Creeper displayed 'I'm the creeper catch me if you can' - Brain virus was first PC virus (1986 Pakistan!),Hard,Tech History
برین وائرس کہاں بنا؟,Where was the Brain virus created?,Lahore Pakistan (1986),N/A,Created by Basit and Amjad Farooq Alvi - first PC virus was Pakistani!,Medium,Pakistan Tech History
ایمیزون پہلے کیا بیچتی تھی؟,What did Amazon originally sell?,Books only,N/A,Jeff Bezos started Amazon as an online bookstore in 1994,Easy,Tech History
گوگل کا سالانہ سرچ کتنا ہے؟,How many Google searches happen per year?,Over 8.5 billion per day,N/A,That's about 99000 searches every second worldwide,Medium,Tech Facts
پہلا موبائل فون کال کب ہوئی؟,When was the first mobile phone call made?,April 3 1973,N/A,Martin Cooper of Motorola called a rival at Bell Labs - phone weighed 1.1 kg!,Medium,Tech History
