tech_term,english_meaning,urdu_analogy,roman_urdu,context_example
API,Application Programming Interface,"Jaise waiter jo order kitchen tak le jaata hai","API waiter ki tarah hai - aap order dete ho, woh kitchen (server) tak le jaata hai, aur khana (data) wapas laata hai","Jab aap Careem app use karte ho, API aapki request driver tak pohanchati hai"
Cloud Storage,Remote data storage,"Online almaari jahan files safe hain","Cloud storage aapki online almaari hai - kahi bhi access karo","Google Drive aapki online almaari hai - phone se upload karo, laptop se download karo"
Algorithm,Step-by-step instructions,"Recipe jo computer follow karta hai","Algorithm biryani ki recipe jaisi hai - step by step follow karo, result milega","YouTube ka algorithm decide karta hai ke aapko konsi video dikhani hai"
Machine Learning,Computer learning from data,"Jaise bachcha seekhta hai - practice se better","ML waisa hai jaise bachcha chalna seekhta hai - baar baar girta hai, phir expert ho jaata hai","Netflix ML use karke seekhta hai ke aapko konsi movie pasand aayegi"
Encryption,Data scrambling for security,"Khat ko taale mein band karna","Encryption aapke message ko taale mein band karta hai - sirf sahi chaabi wala khol sakta hai","WhatsApp encryption se aapke messages safe hain - beech mein koi nahi parh sakta"
Cache,Temporary storage,"Jaise dukandaar yaad rakhta hai regular customer ki pasand","Cache waisa hai jaise paanwala yaad rakhta hai ke aap meetha paan lete ho","Browser cache websites yaad rakhta hai taake dubara load fast ho"
Bandwidth,Data transfer capacity,"Internet ki sadak - kitni gaariyan guzar sakti hain","Bandwidth internet ki sadak hai - zyada bandwidth matlab zyada traffic handle ho sakti hai","4G ki sadak zyada chori hai, 2G ki sadak tang - isliye 4G fast hai"
Server,Computer serving requests,"Online dukaan ka godown","Server godown hai jahan sab maal rakha hai - app dukaan hai jo customer ko dikhati hai","Facebook ka server America mein hai - wahan se aapka data aata hai"
Database,Organized data storage,"Digital filing cabinet","Database computerized filing cabinet hai - sab organized aur searchable","Nadra ka database mein sab Pakistanion ka record hai"
Bug,Software error,"Computer mein kharabi - jaise gaari mein fault","Bug software mein kharabi hai - jaise gaari mein kabhi kabhi engine mein masla hota hai","App crash ho gayi? Shayad koi bug hai"
Debug,Finding and fixing errors,"Mechanic ki tarah problem dhoondhna","Debug karna mechanic ka kaam hai - problem dhoondhna aur theek karna","Programmer debug kar raha hai - dekh raha hai masla kahan hai"
Framework,Pre-built code structure,"Ghar ka structure - walls aur foundation","Framework ghar ka structure hai - foundation ready hai, aap sirf design karo","React ek framework hai - basic cheezein ready hain"
Frontend,User-facing interface,"Dukaan ka showroom - jo customer dekhta hai","Frontend showroom hai - sundar, attractive, customer ke liye","App ki design aur buttons frontend hai"
Backend,Server-side logic,"Dukaan ka godown - jo peeche hota hai","Backend godown hai - customer nahi dekhta par sab wahi hota hai","Payment processing backend mein hoti hai"
URL,Web address,"Ghar ka address - location batata hai","URL website ka address hai - jaise ghar ka address hota hai","google.com ek URL hai"
Download,Get data from internet,"Internet se apne phone mein lena","Download matlab internet se apne phone mein copy karna","Movie download ki - ab offline dekh sakte ho"
Upload,Send data to internet,"Apne phone se internet pe bhejna","Upload matlab apne phone se internet pe bhejna","Photo Instagram pe upload ki"
Backup,Copy for safety,"Extra copy safe jagah rakhna","Backup matlab extra copy - agar asal kho jaye toh backup se recover karo","Phone ka backup le lo - agar phone kho gaya toh data safe"
Virus,Malicious software,"Computer ki beemari","Virus computer ki beemari hai - protection zaruri hai","Antivirus install karo - computer ko virus se bachao"
Firewall,Security barrier,"Security guard jo check karta hai","Firewall security guard hai - decide karta hai kon andar aaye","Firewall hackers ko rokta hai"
Cookie,Website tracking data,"Dukandaar ki yaaddaasht","Cookies dukandaar ki yaaddaasht hain - yaad rakhte hain aap kaun ho","Website cookies se yaad rakhti hai ke aap login ho"
Pixel,Smallest image unit,"Screen ka ek chota sa point","Pixel screen ka sabse chota hissa hai - millions milke picture banate hain","Camera 12 megapixel hai - 12 million pixels ki photo"
RAM,Temporary memory,"Kaam karne ki jagah - desk","RAM aapka desk hai - zyada RAM matlab zyada cheezein ek saath","8GB RAM mein zyada apps ek saath chal sakti hain"
Storage,Permanent memory,"Almaari jahan sab rakha hai","Storage almaari hai - sab permanent save hota hai","128GB storage mein zyada photos aur videos rakh sakte ho"
Processor,Computer brain,"Computer ka dimagh","Processor dimagh hai - fast processor matlab fast sochna","Snapdragon processor achha hai gaming ke liye"
WiFi,Wireless internet,"Bina taar ka internet","WiFi bina taar ka internet hai - ghar mein kahi bhi use karo","WiFi password share karo friends ke saath"
Bluetooth,Short-range wireless,"Qareeb ki cheezein connect karna","Bluetooth se qareeb ki devices connect hoti hain","Bluetooth se earphones phone se connect karo"
VPN,Virtual Private Network,"Internet pe parda - identity chupana","VPN parda hai - location aur identity chupata hai","VPN se geo-blocked websites access karo"
Streaming,Live data transfer,"Direct chalana bina download ke","Streaming matlab directly dekhna - download ki zarurat nahi","YouTube pe video stream kar rahe ho - download nahi ki"
Latency,Delay in response,"Der - response aane mein waqt","Latency matlab der - kam latency matlab fast response","Gaming mein low latency chahiye warna lag hoga"
