fact_urdu,fact_english,is_true,explanation,source,surprise_level
پاکستان میں پہلا کمپیوٹر وائرس بنا,First PC virus was created in Pakistan,TRUE,Brain virus was created in 1986 by Basit and Amjad Alvi brothers in Lahore to protect their medical software from piracy,Tech history records,High
فیس بک شروع میں صرف ہارورڈ طلباء کے لیے تھا,Facebook started only for Harvard students,TRUE,Mark Zuckerberg launched TheFacebook.com in February 2004 exclusively for Harvard students before expanding to other universities,Facebook history,Medium
گوگل کے بانیوں نے گوگل 1 ملین ڈالر میں بیچنا چاہا,Google founders tried to sell Google for $1 million,TRUE,Larry Page and Sergey Brin offered Google to Excite for $1 million in 1999 but were rejected. Google is now worth over $1 trillion,Business history,High
پہلا ایمیزون آفس گیراج میں تھا,First Amazon office was in a garage,TRUE,Jeff Bezos started Amazon in his Bellevue Washington garage in 1994 selling books online,Amazon history,Medium
اسٹیو جابز نے کبھی کوڈ نہیں لکھا,Steve Jobs never wrote code,TRUE,Steve Jobs was a visionary and designer but Steve Wozniak was the technical co-founder who built the Apple I,Apple history,High
چین میں گوگل بند ہے,Google is blocked in China,TRUE,Google left China in 2010 after refusing to censor search results. Chinese use Baidu instead,Current affairs,Medium
فلائٹ موڈ میں بھی GPS کام کرتا ہے,GPS works in flight mode,TRUE,GPS only receives signals and doesn't transmit so it works in airplane mode. Many offline map apps use this,Technical,Medium
یوٹیوب ایک ڈیٹنگ سائٹ کے طور پر شروع ہوئی,YouTube started as a dating site,TRUE,YouTube was originally a video dating site called 'Tune In Hook Up' before pivoting to general video sharing,YouTube history,High
واٹس ایپ بنانے والے گوگل میں جاب نہیں ملی تھی,WhatsApp founders were rejected by Facebook and Google,TRUE,Jan Koum and Brian Acton were rejected by both companies. Facebook later bought WhatsApp for $19 billion,Business irony,High
پہلا ٹویٹ خود جیک ڈورسی نے کیا,First tweet was by Jack Dorsey himself,TRUE,Jack Dorsey posted 'just setting up my twttr' on March 21 2006,Twitter history,Low
ایپل کی پہلی پروڈکٹ کی قیمت 666.66 ڈالر تھی,Apple I was priced at $666.66,TRUE,Steve Jobs chose this price. Wozniak liked repeating digits. No satanic connection despite conspiracy theories,Apple history,Medium
ناسا آج بھی کمپیوٹر استعمال کرتا ہے جو 1970 سے پرانے ہیں,NASA still uses computers from the 1970s,TRUE,Voyager spacecraft launched in 1977 still operate on original computers with less power than modern calculator,Space tech,High
نیٹفلکس شروع میں DVD بھیجتی تھی,Netflix originally mailed DVDs,TRUE,Netflix started as DVD-by-mail service in 1997 before streaming took over,Netflix history,Medium
فیس بک کا رنگ نیلا ہے کیونکہ مارک کلر بلائنڈ ہے,Facebook is blue because Mark Zuckerberg is colorblind,TRUE,Zuckerberg has red-green colorblindness and blue is the color he sees best,Facebook trivia,High
انسٹاگرام 2 سال میں 1 بلین میں بکا,Instagram sold for $1 billion after only 2 years,TRUE,Instagram launched in October 2010 and was acquired by Facebook in April 2012 for $1 billion with only 13 employees,Business history,High
