myth_urdu,myth_english,truth_urdu,truth_english,explanation,source_type,common_belief_percentage
رات کو فون چارج کرنا بیٹری خراب کرتا ہے,Charging phone overnight damages battery,جدید فون اوور چارجنگ سے محفوظ ہیں,Modern phones have overcharge protection,Modern smartphones stop charging at 100% - the circuit cuts power automatically. Battery degradation is more about heat and charge cycles than overnight charging.,Technical,75%
انکوگنیٹو موڈ میں کوئی ٹریک نہیں کر سکتا,Incognito mode makes you invisible online,صرف براؤزر ہسٹری چھپتی ہے - آئی ایس پی اور ویب سائٹس دیکھ سکتے ہیں,Only browser history is hidden - ISP and websites can still see you,Incognito only prevents local history. Your internet provider your employer and websites can still track you. For real privacy you need a VPN.,Technical,80%
زیادہ RAM = زیادہ فاسٹ فون,More RAM means faster phone,پروسیسر اور سافٹ ویئر زیادہ اہم ہیں,Processor and software optimization matter more,8GB RAM phone with bad processor will be slower than 4GB RAM phone with good processor. RAM only helps with multitasking not overall speed.,Technical,70%
میک میں وائرس نہیں آتا,Macs don't get viruses,میک بھی وائرس کا شکار ہو سکتے ہیں,Macs can get malware too,Macs are less targeted because fewer people use them but malware exists for macOS. Apple has built-in protection but you still need to be careful.,Technical,65%
5G سے صحت کے مسائل ہوتے ہیں,5G causes health problems,5G کی ریڈیو ویوز محفوظ ہیں,5G radio waves are safe within guidelines,5G uses non-ionizing radiation like WiFi and 4G. Hundreds of studies show no health effects at normal exposure levels. This is a debunked conspiracy.,Scientific,40%
فون بند کرنا بیٹری کے لیے اچھا ہے,Turning phone off saves battery life,ریسٹارٹ بہتر ہے مکمل بند کرنے سے,Restarting is better than shutting down,Turning phone off and on uses more battery than sleep mode. Better to restart weekly to clear memory. Modern phones are designed to stay on.,Technical,60%
پبلک وائی فائی سے بینکنگ محفوظ ہے VPN سے,VPN makes public WiFi banking safe,بہتر ہے مگر 100% محفوظ نہیں,Better but not 100% safe,VPN encrypts your connection but sophisticated attacks can still occur. Best practice is to avoid sensitive transactions on public WiFi entirely or use mobile data.,Security,55%
زیادہ میگاپکسل = بہتر کیمرہ,More megapixels means better camera,سینسر سائز اور سافٹ ویئر زیادہ اہم ہیں,Sensor size and software matter more,12MP camera with large sensor beats 108MP camera with tiny sensor. Phone companies market megapixels because it's easy to understand but it's misleading.,Technical,85%
پرائیویٹ براؤزنگ ہیکرز سے بچاتی ہے,Private browsing protects from hackers,صرف لوکل ڈیٹا چھپتا ہے,Only hides local data,Private browsing doesn't add any security. It just doesn't save history locally. Hackers and malware work the same way in private mode.,Security,70%
ایپ بند کرنے سے بیٹری بچتی ہے,Closing apps saves battery,بار بار کھولنا بند کرنا زیادہ بیٹری استعمال کرتا ہے,Opening and closing repeatedly uses more battery,Modern phones manage background apps efficiently. Force closing apps means they need to reload from scratch using more battery. Only close misbehaving apps.,Technical,80%
چارجر کی وائر سے ڈیٹا چوری ہو سکتا ہے,Charging cables can steal data,صرف چارج اونلی کیبلز میں ڈیٹا وائرز نہیں ہوتے,Only if cable has data wires and phone is unlocked,Juice jacking is real but rare. Use charge-only cables or USB data blockers at public stations. Keep phone locked while charging.,Security,45%
فون ہر سال بدلنا ضروری ہے,Need to replace phone every year,اچھا فون 3-4 سال چلتا ہے,Good phone lasts 3-4 years with care,Marketing makes you think you need new phone. Software updates keep phones useful for years. Budget phones may need earlier replacement.,Consumer,50%
