week,skill_name,urdu_name,category,difficulty,free_learning_resources,youtube_channels,earning_potential_pkr_monthly,earning_potential_usd_hourly,thirty_day_challenge,pakistan_demand,tools_needed
1,Prompt Engineering,پرامپٹ انجینئرنگ,AI,Beginner,"LearnPrompting.org,PromptingGuide.ai,Anthropic Docs","Fireship,AI Explained,Matt Wolfe",50000-200000,25-100,Day1-7: Learn basics Day8-14: Practice with ChatGPT Day15-21: Build prompts for specific tasks Day22-30: Create prompt portfolio,High - Growing rapidly,ChatGPT/Claude account (free tier available)
2,Data Analysis with Excel,ایکسل ڈیٹا اینالیسس,Data,Beginner,"freeCodeCamp Excel Course,Excel Easy,Chandoo.org","Leila Gharani,ExcelJet,Kevin Stratvert",40000-150000,15-50,Day1-7: Formulas & Functions Day8-14: Pivot Tables Day15-21: Charts & Visualization Day22-30: Real dataset project,Very High - Every company needs,Microsoft Excel or Google Sheets (free)
3,Video Editing,ویڈیو ایڈیٹنگ,Creative,Beginner-Intermediate,"DaVinci Resolve (free),CapCut tutorials,YouTube Creator Academy","Justin Odisho,Peter McKinnon,Ali Abdaal",30000-150000,15-75,Day1-7: Learn one software Day8-14: Basic cuts & transitions Day15-21: Color & audio Day22-30: Complete 3 projects,High - Content creation boom,DaVinci Resolve (free) or CapCut (mobile free)
4,Graphic Design,گرافک ڈیزائن,Creative,Beginner,"Canva Design School,Figma tutorials,Design Course on YouTube","The Futur,Flux Academy,Satori Graphics",25000-120000,10-60,Day1-10: Master Canva Day11-20: Learn Figma basics Day21-30: Create portfolio with 10 designs,High - Social media demand,Canva (free) Figma (free tier)
5,Content Writing,کانٹینٹ رائٹنگ,Marketing,Beginner,"Copyblogger free resources,HubSpot Content Writing Course,Grammarly blog","Alex Cattoni,Ashlyn Writes,JEHAN Academy Urdu",25000-100000,15-50,Day1-10: Learn SEO basics Day11-20: Write 10 blog posts Day21-30: Guest post on 2 sites,High - Every business needs content,Google Docs (free) Grammarly (free tier)
6,Web Development,ویب ڈویلپمنٹ,Tech,Intermediate,"freeCodeCamp,The Odin Project,MDN Web Docs","Traversy Media,Web Dev Simplified,CodeWithHarry Hindi/Urdu",60000-250000,20-100,Day1-10: HTML/CSS basics Day11-20: JavaScript fundamentals Day21-30: Build 2 websites,Very High - Always in demand,VS Code (free) Browser
7,Digital Marketing,ڈیجیٹل مارکیٹنگ,Marketing,Beginner,"Google Digital Garage,HubSpot Academy,Meta Blueprint","Neil Patel,Ahrefs,SimpliLearn",35000-150000,15-60,Day1-10: Learn SEO Day11-20: Social media marketing Day21-30: Run a campaign,High - Every business online,Google tools (free) Social accounts
8,UI/UX Design,یو آئی یو ایکس ڈیزائن,Design,Intermediate,"Google UX Design (Coursera audit),Figma Learn,UX Design Institute free resources","Flux Academy,The Futur,DesignCourse",50000-200000,25-80,Day1-10: UX principles Day11-20: Figma mastery Day21-30: Complete 2 case studies,Growing - Startups hiring,Figma (free) Maze (free tier)
9,Python Automation,پائتھون آٹومیشن,Tech,Intermediate,"Automate the Boring Stuff (free book),Python.org tutorials,Real Python","Corey Schafer,Tech With Tim,CodeWithHarry",50000-180000,20-75,Day1-10: Python basics Day11-20: Libraries (pandas requests) Day21-30: Build 3 automation scripts,High - Saves time for companies,Python (free) VS Code (free)
10,No-Code Tools,نو کوڈ ٹولز,Tech,Beginner,"Bubble Academy,Webflow University,Zapier Learn","No Code Family,Buildcamp,100 Days of No Code",40000-150000,20-80,Day1-10: Learn Bubble/Webflow Day11-20: Build simple app Day21-30: Complete client-ready project,Growing - Fast MVPs,Bubble (free tier) Webflow (free tier)
11,Mobile App Development,موبائل ایپ ڈویلپمنٹ,Tech,Intermediate,"Flutter docs,React Native docs,freeCodeCamp Flutter","The Net Ninja,Academind,London App Brewery",70000-300000,30-120,Day1-10: Dart/Flutter basics Day11-20: Build 2 screens Day21-30: Complete one app,High - App demand growing,Flutter (free) Android Studio (free)
12,Cloud Computing Basics,کلاؤڈ کمپیوٹنگ,Tech,Intermediate,"AWS Free Tier training,Azure Learn,Google Cloud Skills Boost","freeCodeCamp,TechWorld with Nana,Cloud Academy",80000-350000,35-150,Day1-10: Cloud concepts Day11-15: AWS basics Day16-25: Deploy an app Day26-30: Get certified (practitioner),Very High - Enterprise demand,AWS/Azure/GCP free tier accounts
