question_urdu,question_english,listener_name,listener_city,category,answer_key_points,resources_to_mention,difficulty_level
فری لانسنگ کیسے شروع کروں بغیر تجربے کے؟,How do I start freelancing with no experience?,Ahmed,Karachi,Freelancing Getting Started,"1. Pick ONE skill (content writing/data entry/graphic design) 2. Learn free on YouTube for 2-3 weeks 3. Create 3-5 sample projects 4. Open Fiverr account first (easier than Upwork) 5. Price low initially to get reviews 6. Increase rates after 5-star reviews",Fiverr YouTube tutorials Canva for design samples,Beginner
کون سی پروگرامنگ لینگویج پہلے سیکھوں؟,Which programming language should I learn first?,Fatima,Lahore,Programming,"Depends on goal: Web development = JavaScript | Data/AI = Python | Mobile = Dart/Flutter | General = Python (most versatile). Don't overthink - any language teaches programming concepts. Python recommended for beginners.",freeCodeCamp Python.org Codecademy,Beginner
30 سال کی عمر میں ٹیک میں کیریئر سوئچ ممکن ہے؟,Can I switch to tech career at 30?,Bilal,Islamabad,Career Switch,"Absolutely! 30 is young. Many successful developers started late. Your previous experience is ADVANTAGE - domain knowledge is valuable. 6-12 months dedicated learning can get you job-ready. Focus on practical skills not degrees.",Success stories of late starters Google Career Certificates,Intermediate
ڈالر میں پیمنٹ کیسے لوں پاکستان میں؟,How to receive dollar payments in Pakistan?,Ayesha,Faisalabad,Payments,"Main options: 1. Payoneer (most popular) 2. Wise (good rates) 3. Direct bank wire (for large amounts) 4. Freelancer platforms hold and transfer. Avoid PayPal - not available in Pakistan. Keep records for tax purposes.",Payoneer signup guide Wise Pakistan,Beginner
اپورک پروفائل کیسے بہتر بنائوں؟,How to improve my Upwork profile?,Hassan,Multan,Freelancing Profile,"1. Professional photo 2. Specific headline (not 'web developer' but 'React Developer for E-commerce') 3. Portfolio with 3-5 best works 4. Client testimonials if available 5. Take Upwork skill tests 6. Lower rate initially for first 5 jobs",Upwork profile optimization guides,Intermediate
لیپ ٹاپ کون سا لوں ڈویلپمنٹ کے لیے 100K میں؟,Which laptop for development under 100K PKR?,Usman,Rawalpindi,Hardware,"Key specs needed: 8GB RAM minimum (16GB better) | SSD 256GB+ | i5 or Ryzen 5+. Brands in budget: Lenovo IdeaPad HP Pavilion Dell Inspiron. Used ThinkPads are excellent value. Avoid gaming laptops (expensive for features you won't use).",PakWheels/OLX for used laptops Laptop comparison sites,Beginner
گھر سے کام کرتے ہوئے productive کیسے رہوں؟,How to stay productive working from home?,Zainab,Peshawar,Remote Work,"1. Dedicated workspace (even a corner) 2. Fixed working hours 3. Get dressed like going to office 4. Use Pomodoro technique (25 min work 5 min break) 5. Tell family your work hours 6. Use app blockers for social media during work",Pomodoro apps Focus apps Forest app,Intermediate
انگلش کیسے بہتر کروں ٹیک جاب کے لیے؟,How to improve English for tech jobs?,Ali,Quetta,Communication,"1. Watch English YouTube daily (tech channels) 2. Read documentation in English 3. Write English journal daily 4. Practice speaking alone or with language partners 5. Don't aim for perfection - clear communication is enough. Technical vocabulary matters more than accent.",English YouTube channels Grammarly Language exchange apps,Beginner
AI سے میری جاب جائے گی کیا؟,Will AI take my job?,Sara,Sialkot,AI/Career,"AI will change jobs not eliminate them. Focus on: 1. Skills AI can't do (creativity relationship-building complex decisions) 2. Learning to use AI tools 3. Staying adaptable. Those who learn AI will be more valuable not less.",AI learning resources ChatGPT tutorials,Intermediate
فری لانسنگ بمقابلہ جاب - کون سا بہتر؟,Freelancing vs Job - which is better?,Kamran,Hyderabad,Career Decisions,"Both have pros/cons. Job: Stable income learning environment structure career growth. Freelancing: Higher earning potential flexibility independence. Recommendation: Start with job to learn then freelance part-time then decide.",Comparison guides success stories both paths,Intermediate
